t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592985050,108,4687.177032,2783.706581,1023.727110,916.972393,2765.364146,3614.087819,3992.687834,4352.623349,4455.509805,4462.105329,0.372577,0.366888,0.306696,0.247516,calls/second,milliseconds
1592985060,111,4687.177032,2882.203249,1023.727110,942.951543,2821.682682,3716.329236,4455.509805,4545.055876,4545.055876,4545.055876,0.370153,0.341268,0.303198,0.246991,calls/second,milliseconds
1592985070,115,4687.177032,2839.260805,1023.727110,920.046420,2762.418673,3614.087819,4352.623349,4545.055876,4545.055876,4545.055876,0.371116,0.350284,0.306372,0.248682,calls/second,milliseconds
1592985080,118,4687.177032,2865.345305,1023.727110,913.277117,2803.656544,3677.687071,4257.206392,4545.055876,4545.055876,4545.055876,0.368892,0.357917,0.309441,0.250354,calls/second,milliseconds
1592985090,121,4687.177032,2863.621104,1023.727110,934.694940,2855.993569,3677.687071,4257.206392,4545.055876,4545.055876,4545.055876,0.366803,0.349665,0.309159,0.250905,calls/second,milliseconds
1592985100,125,4687.177032,2791.460432,1023.727110,926.735052,2762.418673,3677.687071,4188.631586,4545.055876,4545.055876,4545.055876,0.367781,0.358671,0.312192,0.252559,calls/second,milliseconds
1592985110,129,4687.177032,2788.064860,1023.727110,942.951795,2762.418673,3677.687071,4188.631586,4455.509805,4545.055876,4545.055876,0.368702,0.349024,0.311765,0.253080,calls/second,milliseconds
1592985120,133,4687.177032,2787.596708,1023.727110,867.973569,2772.615345,3518.571516,4188.631586,4455.509805,4545.055876,4545.055876,0.369574,0.356850,0.314657,0.254703,calls/second,milliseconds
1592985130,136,4687.177032,2809.387821,1023.727110,886.585215,2772.615345,3579.457583,4297.549863,4352.623349,4545.055876,4545.055876,0.367693,0.363474,0.317455,0.256309,calls/second,milliseconds
1592985140,140,4687.177032,2836.134645,1023.727110,867.184934,2829.792657,3579.457583,4297.549863,4297.549863,4545.055876,4545.055876,0.368544,0.354369,0.316910,0.256795,calls/second,milliseconds
1592985150,144,4687.177032,2788.627639,1023.727110,883.506495,2762.418673,3579.457583,4188.631586,4297.549863,4462.105329,4545.055876,0.369347,0.361374,0.319634,0.258377,calls/second,milliseconds
1592985160,147,4687.177032,2858.612699,1023.727110,870.526463,2844.505729,3630.676196,4188.631586,4297.549863,4455.509805,4545.055876,0.367616,0.351313,0.318963,0.258834,calls/second,milliseconds
1592985170,150,4687.177032,2832.934067,1023.727110,960.174153,2829.792657,3716.329236,4455.509805,4591.179427,4591.179427,4591.179427,0.365963,0.358787,0.321620,0.260394,calls/second,milliseconds
1592985180,154,4687.177032,2788.263622,1023.727110,937.573510,2744.672883,3670.304658,4297.549863,4591.179427,4591.179427,4591.179427,0.366777,0.350402,0.320939,0.260834,calls/second,milliseconds
1592985190,157,4687.177032,2819.945221,1023.727110,887.336189,2806.149418,3509.127221,4297.549863,4591.179427,4591.179427,4591.179427,0.365223,0.358016,0.323531,0.262372,calls/second,milliseconds
